GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.mongodb.starter.models,Address,160,3,16,0,24,2,21,1,13,1
JaCoCo Coverage Report,com.mongodb.starter.models,Person,200,36,22,0,24,13,24,7,13,7
JaCoCo Coverage Report,com.mongodb.starter.models,Car,111,0,12,0,19,0,16,0,10,0
JaCoCo Coverage Report,com.mongodb.starter.dtos,AverageAgeDTO,47,0,8,0,11,0,9,0,5,0
JaCoCo Coverage Report,com.mongodb.starter.repositories,MongoDBPersonRepository,240,43,0,0,27,13,17,5,17,5
JaCoCo Coverage Report,com.mongodb.starter,ApplicationStarter,0,8,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter,SpringFoxConfig,0,40,0,0,0,13,0,3,0,3
JaCoCo Coverage Report,com.mongodb.starter,SpringConfiguration,0,38,0,0,0,7,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter.controllers,PersonController,76,21,2,0,16,7,12,4,11,4
