GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.mongodb.starter.models,Address,150,13,16,0,20,6,19,3,11,3
JaCoCo Coverage Report,com.mongodb.starter.models,Person,185,51,22,0,18,19,21,10,10,10
JaCoCo Coverage Report,com.mongodb.starter.models,Car,93,18,12,0,11,8,12,4,6,4
JaCoCo Coverage Report,com.mongodb.starter.dtos,AverageAgeDTO,47,0,8,0,11,0,9,0,5,0
JaCoCo Coverage Report,com.mongodb.starter.repositories,MongoDBPersonRepository,210,73,0,0,25,15,15,7,15,7
JaCoCo Coverage Report,com.mongodb.starter,ApplicationStarter,0,8,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter,SpringFoxConfig,0,40,0,0,0,13,0,3,0,3
JaCoCo Coverage Report,com.mongodb.starter,SpringConfiguration,0,38,0,0,0,7,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter.controllers,PersonController,76,21,2,0,16,7,12,4,11,4
