,0,,,,,,,,,API,LanguageTool,Features Service,PersonController
Features Service,,,,,,,,,,Total Requests,23980.75 (460.30),22424.80 (763.40),23649 (649.99)
,426.0707688,255.9603485,361.7388561,95.47355655,1.095445115,1.245700606,0.553109392,1.129765462,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PersonController,,,,,,,,,,,,,
API - 0,23517,10131,1136,12250,95,81.72,3.33,73.18,,,,,
API - 1,22605,9910,973,11722,91,81.72,3.33,73.18,,,,,
API - 2,24245,10364,1041,12840,93,81.72,3.33,73.18,,,,,
API - 3,23767,10069,1365,1233,94,81.72,3.33,73.18,,,,,
API - 4,24111,10500,2602,11009,81,81.72,3.33,73.18,,,,,
,23649,10194.8,1423.4,9810.8,90.8,81.72,3.33,73.18,,,,,
,649.9892307,235.9993644,675.3142232,4842.333394,5.674504384,0,4.96507E-16,0,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mockoon - 0,23270,22558,712,0,0,,,,,,,,
Mockoon - 1,22508,21873,633,2,0,,,,,,,,
Mockoon - 2,22493,21821,668,4,0,,,,,,,,
Mockoon - 3,22665,21984,681,0,0,,,,,,,,
Mockoon - 4,23041,22322,716,3,0,,,,,,,,
,22795.4,22111.6,682,1.8,0,,,,,,,,
,345.1858919,316.7022261,34.1101158,1.788854382,0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
API w/ Q Table 0 ,23492,10719,1100,11673,93,81.72,3.33,73.18,,,,,
API w/ Q Table 1,23957,10795,1536,11626,96,81.72,3.33,73.18,,,,,
API w/ Q Table 2,23671,10667,949,12055,96,81.72,3.33,73.18,,,,,
API w/ Q Table 3,24008,10699,2768,10541,86,81.72,3.33,73.18,,,,,
API w/ Q Table 4,23690,10452,1041,12197,94,81.72,3.33,73.18,,,,,
,23763.6,10666.4,1478.8,11618.4,93,81.72,3.33,73.18,,,,,
,214.9960465,128.7781037,755.1746156,649.8513676,4.123105626,0,4.96507E-16,0,,,,,
