GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.mongodb.starter.models,Address,163,0,16,0,26,0,22,0,14,0
JaCoCo Coverage Report,com.mongodb.starter.models,Person,236,0,22,0,37,0,31,0,20,0
JaCoCo Coverage Report,com.mongodb.starter.models,Car,111,0,12,0,19,0,16,0,10,0
JaCoCo Coverage Report,com.mongodb.starter.dtos,AverageAgeDTO,47,0,8,0,11,0,9,0,5,0
JaCoCo Coverage Report,com.mongodb.starter.repositories,MongoDBPersonRepository,257,26,0,0,30,10,19,3,19,3
JaCoCo Coverage Report,com.mongodb.starter,ApplicationStarter,0,8,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter,SpringFoxConfig,0,40,0,0,0,13,0,3,0,3
JaCoCo Coverage Report,com.mongodb.starter,SpringConfiguration,0,38,0,0,0,7,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter.controllers,PersonController,81,16,2,0,17,6,13,3,12,3
